file,overall_score,grade,worst_frame,backswing_score,downswing_score,impact_score,followthrough_score
dtl_amateur_driver_001.npz,77.0,C+,38,81.6,74.0,68.9,78.3
dtl_amateur_driver_004.npz,79.7,C+,40,85.2,75.8,79.5,78.7
dtl_amateur_iron_003.npz,76.4,C,16,75.5,73.6,76.5,78.8
dtl_amateur_wood_005.npz,80.3,B-,28,82.3,72.9,81.1,83.5
dtl_pro_driver_0017.npz,81.7,B-,25,80.6,81.5,78.8,83.3
dtl_pro_driver_0020.npz,80.0,C+,19,83.7,69.8,82.4,83.4
dtl_pro_driver_012.npz,47.3,Needs Work,54,38.5,36.2,50.5,59.1
dtl_pro_driver_015.npz,77.7,C+,61,82.8,81.7,73.9,73.0
dtl_pro_driver_016.npz,86.3,B,33,88.7,84.5,81.5,87.3
dtl_pro_driver_019.npz,81.2,B-,56,85.6,83.2,66.3,81.3
dtl_pro_driver_027.npz,85.5,B,41,87.9,87.8,77.7,84.7
dtl_pro_driver_030.npz,82.7,B-,63,85.1,83.9,81.8,80.7
dtl_pro_driver_031.npz,66.9,D,9,44.2,71.0,73.1,77.0
dtl_pro_driver_032.npz,78.3,C+,39,74.7,76.4,72.7,83.4
dtl_pro_driver_035.npz,84.6,B,22,81.3,85.7,84.4,86.2
dtl_pro_driver_038.npz,80.4,B-,20,81.9,73.7,92.2,80.3
dtl_pro_driver_039.npz,84.3,B,52,85.2,84.1,81.0,84.8
dtl_pro_iron_002.npz,79.6,C+,60,90.2,83.4,68.4,73.6
dtl_pro_iron_006.npz,77.7,C+,40,81.9,84.7,75.4,71.2
dtl_pro_iron_007.npz,83.5,B,44,83.5,87.4,78.2,82.4
dtl_pro_iron_008.npz,84.4,B,46,84.4,84.6,82.4,84.8
dtl_pro_iron_009.npz,74.7,C,49,67.7,77.9,72.9,77.6
dtl_pro_iron_010.npz,76.9,C,21,74.6,72.0,85.3,79.1
dtl_pro_iron_011.npz,81.6,B-,26,81.9,79.4,81.7,82.7
dtl_pro_iron_013.npz,83.8,B,53,89.1,84.0,78.9,81.7
dtl_pro_iron_014.npz,79.8,C+,40,89.4,79.0,83.4,73.2
dtl_pro_iron_018.npz,82.7,B-,53,83.8,79.6,82.6,84.1
dtl_pro_iron_021.npz,78.5,C+,44,80.9,76.8,81.6,77.3
dtl_pro_iron_022.npz,84.4,B,47,84.2,83.5,90.0,83.5
dtl_pro_iron_023.npz,76.6,C,14,75.2,70.6,78.8,80.7
dtl_pro_iron_024.npz,74.2,C,63,86.6,78.2,62.7,67.1
dtl_pro_iron_025.npz,80.1,B-,56,85.9,74.5,79.3,80.3
dtl_pro_iron_026.npz,80.4,B-,11,70.2,85.9,91.7,80.3
dtl_pro_iron_027.npz,83.6,B,23,88.5,75.4,83.0,85.9
dtl_pro_iron_028.npz,79.8,C+,61,82.8,76.3,88.6,77.6
dtl_pro_iron_029.npz,84.4,B,31,83.8,82.1,80.6,87.2
dtl_pro_iron_033.npz,80.2,B-,54,79.8,75.2,86.2,81.9
dtl_pro_iron_034.npz,82.1,B-,34,79.0,85.6,71.9,84.7
dtl_pro_iron_035.npz,84.3,B,0,81.4,83.7,85.1,86.4
dtl_pro_iron_036.npz,79.8,C+,21,78.9,73.0,83.9,83.5
dtl_pro_iron_038.npz,84.9,B,56,89.8,89.1,82.9,79.6
dtl_pro_iron_040.npz,77.1,C+,62,82.1,76.0,86.9,71.9
dtl_pro_wood_037.npz,83.2,B,42,89.8,82.1,83.4,79.6
